place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m,google_types
ChIJB0Ru7QMZ6zkR4qyGJ-E1Xl8,bank,आदित्य बचतऋण सहकारी,bank,"P879+268, Durbar Marg, Kathmandu 44600, Nepal",27.712529,85.318091,14.93,
ChIJcSjX8AMZ6zkRgr0uWaVpCX8,bank,"Rastriya Banijya Bank Ltd.,",bank,"P869+R9M, Durbar Marg, Kathmandu 44600, Nepal",27.7120975,85.31841720000001,72.01,
ChIJSyehagAZ6zkRxsryIMeaI3s,bank,Himalayan Bank Ltd. Hiti Durbar Branch,bank,"P879+8F2, Kathmandu 44600, Nepal",27.7130721,85.3188868,103.85,
ChIJ18Bs5AMZ6zkRm47R71A0Sh4,bank,Nepal Investment Mega Bank Limited,bank,"P869+M38, Durbar Marg, Kathmandu 44600, Nepal",27.7116747,85.3176939,107.49,
ChIJQXbQsFlKro4R4OmbG3Z7XK8,bank,Indrakamal Multi-purpose cooperative ltd.,bank,"P868+HW Kathmandu, 01 Durbar marg, Kathmandu 44600, Nepal",27.7116009,85.3174461,123.49,
ChIJibXREQQZ6zkRhBA1bEWFJW0,bank,World Bank Nepal Office,bank,"1st Floor, West Wing Lal Durbar Convention Center Yak and Yeti Hotel Complex, Durbar Marg, Kathmandu 44600, Nepal",27.7124019,85.3193806,140.77,
ChIJKc9GYQEZ6zkRr6xEOVgMS5k,bank,Mahalaxmi Bikas Bank ATM,atm,"P868+GWG, Durbar Marg, Kathmandu 44600, Nepal",27.7113078,85.31732509999999,158.1,
ChIJ_6fIVQEZ6zkRSyhntium5ak,bank,देव: विकास बैंक लिमिटेड,bank,"P869+CCG, Bina Marg, Kathmandu 44600, Nepal",27.7110502,85.3185783,183.49,
ChIJLTtoWgEZ6zkRGEfrVTytEc4,bank,BR Multipurpose Co-op,bank,"तेर्सो तला, शेर्पा मल, Durbar Marg, Kathmandu 44600, Nepal",27.7106434,85.31804489999999,218.8,
ChIJE2g8UwEZ6zkRSiUxdvav0N0,bank,Nabil Bank Limited,bank,"Bina Marg, Kathmandu 44600, Nepal",27.7106453,85.3186417,228.25,
ChIJ88FA9zQZ6zkRzh0588zXSVM,bank,Mahalaxmi Bikash Bank Limited,bank,"P868+5VC, Durbar Marg, Kathmandu 44600, Nepal",27.7104263,85.3171287,256.55,
ChIJ1frwQgEZ6zkRClYbTR4YFoc,bank,Shubhachesta SACCOS,bank,"P869+429, Durbar Marg, Kathmandu 44600, Nepal",27.710297,85.317612,259.6,
ChIJwal2TwEZ6zkRR0ZnXljJu70,bank,United Finance Limited,bank,"P869+474, वीणा मार्ग, Kathmandu 44600, Nepal",27.7102645,85.31820549999999,261.84,
ChIJd0LcRAQZ6zkRt98yGAJlnIE,bank,Amardeep SACCOS,bank,"P87C+964, Durbar Marg, Kathmandu 44600, Nepal",27.713396,85.32057739999999,271.14,
ChIJ_zAT0gYZ6zkRnMmvnKYV6DQ,bank,Citizens Bank Int´l Ltd.,bank,"P87C+877, Kulratna Marg, Kathmandu 44600, Nepal",27.7132837,85.3206798,277.07,
ChIJT4HMQwIZ6zkRVawMrAbj4dg,bank,Global IME Bank Limited,bank,"Kanti Path, Kathmandu 44600, Nepal",27.7129205,85.31503959999999,290.53,
ChIJxX8NIwIZ6zkREth_Qv1GWJg,bank,Nepal Investment Mega Bank Limited (NIMB),bank,"Rising Mall, Tindhara Marg, Kathmandu 44600, Nepal",27.7098439,85.3190789,326.37,
ChIJS5mwS2IZ6zkRY2wU888Fg38,bank,Reliance Finance Limited,bank,"Kathmandu 44600, Nepal",27.7100617,85.31977859999999,334.65,
