place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m
ChIJMwnrj1YY6zkRsen87BGFG0Y,bank,Na:Bahi SACCOS,bank,"P825+H39, Jor Ganesh Galli, Kathmandu 44600, Nepal",27.701419,85.307738,71.37
ChIJMx2dfFYY6zkRL-xhEOMtdtU,bank,Easy Savings and Credit Cooperatives Limited.,bank,"Marg Freak St, Kathmandu 44600, Nepal",27.7024108,85.30801880000001,73.8
ChIJTz5eqmUZ6zkRkyU6HVHH6x0,bank,Jagatjanani SACCOS,bank,"P835+25H, Nhusa Marg, Kathmandu 44600, Nepal",27.7025559,85.30797319999999,81.74
ChIJEXJtk1YY6zkRu5inljEzVQU,bank,Nibodhit SACCOS,bank,"P824+CW6, Kathmandu 44600, Nepal",27.7010433,85.3072593,107.7
ChIJgbcRK1QY6zkRP-1_CsNWUJQ,bank,ICFC Finance Ltd.,bank,"P825+RC9, Siddhicharan Marg, Kathmandu 44600, Nepal",27.7020302,85.3086165,116.86
ChIJLSI8K1QY6zkRk2r8cQ9MHy0,bank,Mega Dream Multipurpose Co-op,bank,"P825+RC9, सिद्धिचरण मार्ग, Kathmandu 44600, Nepal",27.7020401,85.30861759999999,117.0
ChIJJXkgQ6UZ6zkR56YYZMNBnCc,bank,Tisa SACCOS,bank,"P835+29H, Nhusa Marg, Kathmandu 44600, Nepal",27.7025544,85.3084803,120.38
ChIJVyh3KVQY6zkRJvEJlLqPrqQ,bank,Metrovest SACCOS,bank,"P825+MCX, Siddhicharan Marg, Kathmandu 44600, Nepal",27.7017456,85.30862359999999,120.87
ChIJNWJW1FUY6zkRWgYpCrb0oHs,bank,Shree Harati Ma & Credit Co-operative Limited,bank,"P825+WFJ, Dharma Path, Kathmandu 44600, Nepal",27.7023308,85.30864799999999,125.43
ChIJkVCAQdUZ6zkRw1t3vlUdeBQ,bank,Green Valley SACCOS,bank,"P825+PGV, रणमुक्तेश्वर मार्ग, Kathmandu 44600, Nepal",27.7018728,85.3087881,134.45
ChIJDxXjtlUY6zkRCNvFb4Xp7Tc,bank,Brihat Multipurpose Coop,bank,"P825+XGP, Kathmandu 44600, Nepal",27.7024634,85.3088157,145.83
ChIJgT82bFYY6zkRi1kt0GxFgEE,bank,River City SACCOS,bank,"5th Floor, Shiva Arcade, निष्ठानन्द मार्ग, Kathmandu 44600, Nepal",27.703364,85.30761419999999,152.75
ChIJs5v00VUY6zkRdADJzMPtIMY,bank,Akshobhya Buddha SACCOS,bank,"P835+2JF, Dharma Path, Kathmandu 44600, Nepal",27.7025613,85.30904559999999,170.86
ChIJG53o0VUY6zkRRjL4OI_gEds,bank,Deva Bikas Bank ATM,atm,"P835+2JF, Dharma Path, Kathmandu 44600, Nepal",27.7025606,85.30904819999999,171.07
ChIJ9zBYMlQY6zkRc787q5-EH6M,bank,Punji Bikash SACCOS,bank,"P825+QMF, रणमुक्तेश्वर मार्ग, Kathmandu 44600, Nepal",27.7019367,85.3091839,172.81
ChIJ43SwmFUY6zkRJAIAw6V2uLU,bank,NIDC Development Bank Limited,bank,"P835+97J, Layaku Marg, Kathmandu 44600, Nepal",27.7034519,85.3081442,176.09
ChIJazAp0FUY6zkROUwo6g7GL9I,bank,Univest SACCOS,bank,"P835+3JG, Dharma Path, Kathmandu 44600, Nepal",27.702694,85.30908,179.84
ChIJwWvfz1UY6zkRhaV4p_A2ILs,bank,Hatemalo SACCOS,bank,"P835+3JX, Dharma Path, Kathmandu 44600, Nepal",27.702739,85.309102,183.98
ChIJYZXa8VUY6zkRIpEquS91AQM,bank,"Rastriya Banijya Bank Ltd., Main Branch",bank,"Layaku Marg, Kathmandu 44600, Nepal",27.703489,85.3082522,184.3
ChIJKxkQE1YY6zkR5LirwX8g9x8,bank,Lovely SACCOS,bank,"P835+F29, निष्ठानन्द मार्ग, Kathmandu 44600, Nepal",27.703663,85.3076006,185.68
ChIJ90VLolUY6zkRW5aQZnc2S1U,bank,Nepal Investment Bank Limited,bank,"P835+F75, Layaku Marg, Kathmandu 44600, Nepal",27.703644,85.308246,199.68
ChIJJQ3ap1cY6zkRkJ1guomOKpk,bank,Svarnajyoti SACOOS,bank,"P824+V38, Guna Kamdev Marg, Kathmandu 44614, Nepal",27.7021613,85.3052131,218.99
ChIJ6fUqmFcY6zkRqlz1pE-Kmdc,bank,Jay Ashok Binayak Saving & Credit Cooperative Ltd,bank,"P834+P74, Paropakar Marg, Kathmandu 44600, Nepal",27.7042568,85.3056902,303.83
ChIJDSZe0lcY6zkRgd5Am1J9vqQ,bank,Shree Gorokhnath SACCOS,bank,"P834+P78, अशोक विनायक मार्ग, Kathmandu 44600, Nepal",27.704287,85.3056919,306.51
ChIJP1snO1cY6zkR6Pg0nFx49vo,bank,Satya Shakti Ganesh SACCOS,bank,"M8X4+X3M, करूणामय मार्ग, Kathmandu 44600, Nepal",27.699973,85.3051629,317.2
ChIJISPDTFEY6zkRLRzI-rZEFK8,bank,Kaphalagedi SACCOS,bank,"M8X5+J28, लगन चोक, Kathmandu 44600, Nepal",27.6990393,85.3075899,329.59
ChIJO-_D0FcY6zkRf1ObI5C_FHs,bank,Sarafi SACCOS,bank,"P834+Q43, Ashok Binayak Marg, Kathmandu 44600, Nepal",27.7043962,85.3052845,340.01
ChIJsTmvnFcY6zkRw1saspRmGek,bank,Bijay Shanti SACCOS,bank,"P823+WH8, Paropakar Marg, Kathmandu 44600, Nepal",27.7022828,85.3039518,343.87
ChIJc9oM_1UY6zkR8cwXHsOdOGo,bank,Tarini SACCOS,bank,"Tulashi Ratna, Makha Galli, Kathmandu 44600, Nepal",27.705015,85.3086124,354.89
ChIJ7byVqPgY6zkRLZow5YwErak,bank,Square SACCOS,bank,"P845+449, Layaku Marg, Kathmandu 44600, Nepal",27.7052859,85.3078741,367.98
ChIJx50vpPgY6zkR2FAmTIoLhaI,bank,Asha SACCOS,bank,"P845+527 टोल-२५, Siddhidas Marg, Kathmandu 44600, Nepal",27.7054064,85.30754569999999,378.95
ChIJ5d7lLVEY6zkRzIiIRQto3PU,bank,Bramha SACCOS,bank,"M8X4+FHM, ब्रहम मार्ग, Kathmandu 44600, Nepal",27.6987053,85.3064297,379.36
