place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m,google_types
ChIJs5XdmsUZ6zkR6ihsak2jvvU,bank,Layeku SACCOS,bank,"M8FF+HVM, मङ्गल बजार रोड, Lalitpur 44700, Nepal",27.673957,85.3246829,69.36,
ChIJnXAjgMUZ6zkRS1qJsbz6pXg,bank,Sikharadip SACCOS,bank,"M8FF+9JF, महापाल रोड, Lalitpur 44600, Nepal",27.6734301,85.32405399999999,93.22,
ChIJp_S8PwAZ6zkRM3pmWSJz_zA,bank,Global IME Bank Limited,bank,"Lalitpur Patan-16, ललितपुर 44700, Nepal",27.6736005,85.3237858,121.63,
ChIJdc-0GAgZ6zkRP-EcLc2ilf0,bank,Nible bank,bank,"M8FF+VVG, Kwalakhu Nhoolan Marg, Lalitpur 44700, Nepal",27.6746324,85.32468659999999,140.47,
ChIJl7DSYooZ6zkR8oaZrd1QLZQ,bank,Manikeshav Narayan SACCOS,bank,"M8FG+V7V, Bangalamukhi-Shankhamul Rd, Lalitpur 44700, Nepal",27.6746936,85.3257497,161.68,
ChIJ-zChcM8Z6zkRH3YoTzGfqik,bank,Jai Bhimsen SACCOS,bank,"M8FF+G83, महापाल रोड, Lalitpur 44700, Nepal",27.673769,85.323301,172.27,
ChIJST6aY_YZ6zkRFP4EHxyPuaU,bank,Sathibhai SACCOS,bank,"M8FF+P84, Dhaugal Rd, Lalitpur 44700, Nepal",27.6742561,85.3233296,190.05,
ChIJ99Oj8t4Z6zkRWhZ-2IBDWK8,bank,"Nabil Bank Limited, Mangalbazar Branch",bank,"Mangal Bazar Ward 8, Lalitpur 44700, Nepal",27.6752062,85.3247574,202.26,
ChIJpQRSO8UZ6zkRbKIdIBudqBc,bank,Yuva SACCOS,bank,"M8CG+J8G, Hakha-Chusika nani galli, Lalitpur 44700, Nepal",27.6715712,85.3258255,219.0,
ChIJaT2ABc8Z6zkRpeVVup0oHN0,bank,Nepal Bank Limited,bank,"M8FC+GVQ, Gabahal Rd, Lalitpur 44600, Nepal",27.6738426,85.3222322,276.97,
ChIJHSg5VcUZ6zkRE8coinNGlTw,bank,Urja SACCOS,bank,"M8CF+8MQ, Lalitpur 44700, Nepal",27.6708447,85.3242369,293.91,
ChIJW-5b-cUZ6zkRFnRLocz1ac0,bank,Basubarna SACCOS,bank,"M8GF+CPG, Lalitpur 44700, Nepal",27.676061,85.32432879999999,303.18,
ChIJ-eBragAZ6zkRBuxlcZSx_hs,bank,Siddhartha Bank,bank,"M8CG+FJ4 सौगल, Hakha-Chusika nani galli, Lalitpur 44700, Nepal",27.6710162,85.3265066,303.76,
ChIJvXLoN4kZ6zkR7y8_rhI9ceI,bank,Ratnakar SACCOS,bank,"M8FC+HQ8, Gabahal Rd, Lalitpur 44600, Nepal",27.6739121,85.3219596,304.77,
ChIJAagTV8UZ6zkRzabSEujgi3g,bank,Prabhu Bank ATM,atm,"M8CF+8J8, Lalitpur 44700, Nepal",27.6707801,85.32406379999999,305.56,
ChIJZ1Z8w8UZ6zkRWYEd4NzVO9g,bank,Luza: SACCOS,bank,"M8GG+9FM, Kwalakhu Rd, Lalitpur 44600, Nepal",27.675973400000004,85.3261689,308.43,
